Provinsi;Nilai Eskpor 2024;Pemenuhan Bahan Baku 2024
Aceh;0,00;0,00
Sumatera Utara;225954374,01;1680786,43
Sumatera Barat;57993,02;0,00
Riau;800507474,00;32033328,87
Jambi;109578914,89;4704651,91
Sumatera Selatan;1513632939,64;13984560,56
Bengkulu;1163635,11;8436,27
Lampung;26524670,83;269621,90
Kepulauan Bangka Belitung;67112,42;0,00
Kepulauan Riau;29094240,42;0,00
DKI Jakarta;5226699109,80;0,00
Jawa Barat;367637661,93;152668,49
Jawa Tengah;1544051743,15;3344681,84
Daerah Istimewa Yogyakarta;64372915,34;7916,79
Jawa Timur;1852296432,78;4148467,45
Banten;203628263,92;92301,36
Bali;94556148,77;19726,30
Nusa Tenggara Barat;0,00;0,00
Nusa Tenggara Timur;1243939,26;0,00
Kalimantan Barat;59345955,39;209498,91
Kalimantan Tengah;67824245,25;1302809,96
Kalimantan Selatan;148422633,03;826135,43
"Kalimantan Timur 
";95809315,98;1308739,59
Kalimantan Utara;33323129,99;415400,73
Sulawesi Utara;15259,80;0,00
Sulawesi Tengah;450993,82;0,00
Sulawesi Selatan;3579168,99;27381,82
Sulawesi Tenggara;0,00;0,00
Gorontalo;26994672,36;249606,92
Sulawesi Barat;0,00;0,00
Maluku;324211,72;505,06
Maluku Utara;6656204,14;165807,15
Papua;83388729,49;407507,53
Papua Barat;4598898,78;11801,69
Papua Selatan;0,00;0,00
Papua Tengah;0,00;0,00
Papua Pegunungan;0,00;0,00
Papua Barat Daya;0,00;59820,04
